time,low,high,open,close,volume
1723593600,58453.56,61827.2,60603.19,58690.62,12938.61473824
1723680000,56120,59883.49,58690.62,57543.61,14506.63316989
1723766400,57096.56,59871.61,57543.57,58888.99,11930.21788221
1723852800,58803.45,59711.02,58888.99,59497.49,2787.56355634
1723939200,58422,60284.99,59497.49,58437.9,4325.64817169
1724025600,57820,59639.81,58436.2,59452.67,8539.29378706
1724112000,58571.96,61457.03,59455.81,59017.59,11062.05279919
1724198400,58793.89,61849.98,59017.59,61163.28,13380.11101719
1724284800,59750,61430.48,61167.54,60383.29,9608.6955368
1724371200,60343.2,64987,60383.28,64086.72,17852.77117167
1724457600,63564.22,64529.78,64091.63,64179.63,5020.91676004
1724544000,63793.74,65050.08,64179.63,64251.93,4012.30764642
1724630400,62806.8,64509.36,64250.01,62840,10741.96651081
1724716800,58025.49,63226.26,62840.09,59439.64,14195.89496578
1724803200,57851.62,60236.98,59437.68,59045.88,10001.12169866
1724889600,58729.39,61194.09,59047.94,59364.47,10933.22040343
1724976000,57700,59929.63,59353.12,59112.77,9382.9124508
1725062400,58739.31,59446.99,59117.59,58968.37,1368.21775121
1725148800,57200,59070.55,58968.37,57299,4411.05388122
1725235200,57119.01,59423,57291.21,59139.83,4318.6544603
1725321600,57394.49,59825.7,59138.89,57468.84,8264.44971184
1725408000,55555,58531.25,57460.5,57971,13715.96171494
1725494400,55628.04,58326.12,57971,56156.82,12281.57828747
1725580800,52530,56995,56156.82,53950.01,18495.45064356
1725667200,53733.1,54847,53950,54156.33,3284.57722628
1725753600,53623.95,55315.95,54159.6,54881.11,3684.86816392
1725840000,54565.56,58119.97,54881.1,57053.9,10203.03329517
1725926400,56377.76,58050.35,57047.82,57645.59,6433.21371111
1726012800,55534.41,58014.35,57641.15,57352.79,11678.94297124
1726099200,57311.15,58600,57352.92,58137.54,10175.62390483
1726185600,57630.01,60670,58137.33,60543.35,11935.95544754
1726272000,59436.8,60660,60543.35,60012.35,3147.39019631
1726358400,58695.75,60402.34,60012.34,59122.33,3975.3568185
1726444800,57477,59214.15,59122.7,58208.75,7654.10991835
1726531200,57620.27,61373.41,58209.76,60312.6,11701.89074715
1726617600,59174.5,61800,60317.38,61769.18,11471.50683029
1726704000,61569.16,63891.82,61770.38,62960.14,15075.86835522
1726790400,62340,64140.67,62956.04,63210.69,10636.1082809
1726876800,62755,63575.63,63210.94,63362.74,1960.85712028
1726963200,62380.55,64000,63362.74,63577.66,2882.2341982
1727049600,62566.28,64739.67,63580.39,63338.87,7014.74459935
1727136000,62689.15,64700,63338.85,64272.93,8933.46473574
1727222400,62932.8,64811,64272.93,63130.89,5909.09510453
1727308800,62652.99,65865,63131.13,65177.21,12789.85035505
1727395200,64827.85,66550,65176.39,65789,9529.0168808
1727481600,65400,66266.39,65787.53,65858.99,2755.22680581
1727568000,65433.29,66059,65857.33,65600.01,2721.35197741
1727654400,62833.95,65624.95,65600.01,63301.25,10629.74147917
1727740800,60150.89,64106.75,63305.52,60790,15970.80295516
1727827200,59969.2,62380.34,60792.63,60631.37,8764.03050337
1727913600,59824.87,61474.92,60631.36,60744.99,7834.55718072
1728000000,60454.5,62481,60745,62090.71,7884.21831808
1728086400,61686.34,62380.04,62090.7,62051.29,1783.56564961
1728172800,61805.85,62978.75,62051.29,62810.86,2086.21821773
1728259200,62113.28,64467.02,62810.93,62200.28,10707.1500015
1728345600,61824.48,63191.05,62203.82,62122.02,6566.33034742
1728432000,60255,62507.68,62118.44,60578.28,7582.36723494
1728518400,58863.9,61271.59,60578.28,60279.53,10462.57962276
1728604800,60029.98,63416.7,60279.53,62518.75,11454.9900534
1728691200,62464.15,63474.25,62518.75,63187.47,3943.90648994
1728777600,62033,63270.18,63183.08,62845.3,2257.61460657
1728864000,62426.67,66500,62847.89,66065.65,13638.71106556
1728950400,64778.44,67944.76,66065.64,67056.6,16324.01191342
1729036800,66743,68399,67056.62,67608.44,12465.75691229
1729123200,66629.97,67926.99,67608.45,67402.33,7912.22639285
1729209600,67149.24,69000.62,67399.86,68426.11,11802.74441943
1729296000,68005.83,68689.29,68426.11,68363.73,1868.86958754
1729382400,68083.18,69380,68363.73,69014.86,2632.89214855
1729468800,66802,69498,69014.87,67346.15,10226.59346669
1729555200,66535,67800,67346.15,67380.08,8598.06472763
1729641600,65149.51,67415.65,67389.7,66601.11,9021.17140157
1729728000,66445.32,68800,66601.1,68156.84,10016.19830413
1729814400,65500.01,68742.38,68156.84,66564.51,14485.49253537
1729900800,66331.95,67365.18,66564.51,67012.56,2949.2199701
1729987200,66836.78,68261.37,67008.15,67943.19,2819.59766921
1730073600,67532.48,70235.98,67943.18,69924.5,16140.14013624
1730160000,69705.76,73624.98,69924.49,72724.35,20616.91187006
1730246400,71400.01,72948.6,72724.35,72322.91,13543.49337837
1730332800,69559.33,72684.02,72322.91,70197.83,14726.78460342
1730419200,68720,71620,70198.02,69467.29,15295.28781188
1730505600,69000,69891.92,69466.64,69358.94,2203.99644104
1730592000,67444,69364.65,69360.95,68738.18,6758.88506466
1730678400,66783.77,69453.94,68736.4,67807.48,12431.01371517
1730764800,67427.53,70557.67,67810.15,69380.73,12867.66127618
1730851200,69285.82,76509.56,69380.64,75646.55,45398.11837369
1730937600,74463.96,76999,75646.55,75920,21932.40207681
1731024000,75654.26,77312.18,75925,76566.73,18378.39876264
1731110400,75758.58,76952.67,76566.72,76716.06,4836.57005338
1731196800,76535.33,81534.28,76716.06,80428.92,16728.21105103
1731283200,80277.34,89666,80427.69,88770.73,35560.11866694
